Name,Species,Amplitude,Frequency,Spectral_Desc_Mean,Spectral_Desc_Var,Spectral_Centroid,Audio
Pelophylax,perezi,0.41383648,5512,-26,9565,2868,sample_audios_xeno_canto\Pelophylax.wav
Pteropus,poliocephalus,3.8021097,5512,-16,2160,5428,sample_audios_xeno_canto\Pteropus.wav
Microhyla,malang,6.475628,5512,-13,6879,4290,sample_audios_xeno_canto\Microhyla.wav
Phascolarctos,cinereus,0.22197112,5512,-14,10158,2307,sample_audios_xeno_canto\Phascolarctos.wav
Sorex,minutus,0.056724302,5512,-21,7211,4283,sample_audios_xeno_canto\Sorex.wav
Eulemur,rubriventer,0.15373126,5512,-26,7284,4721,sample_audios_xeno_canto\Eulemur.wav
Gryllus,bimaculatus,811.03815,5512,-26,14925,4942,sample_audios_xeno_canto\Gryllus.wav
Tamiops,maritimus,18.733355,5512,3,1200,4866,sample_audios_xeno_canto\Tamiops.wav
Macaca,cyclopis,29.39908,5512,-1,2689,3165,sample_audios_xeno_canto\Macaca.wav
Epomophorus,gambianus,1.2044543,5512,-4,5319,1618,sample_audios_xeno_canto\Epomophorus.wav
Pseudacris,regilla,132.38672,5512,-25,5626,2986,sample_audios_xeno_canto\Pseudacris.wav
Callicebus,barbarabrownae,92.88936,5512,-19,11089,6497,sample_audios_xeno_canto\Callicebus.wav
Pelophylax,ridibundus,2.681993,5512,-14,5214,4158,sample_audios_xeno_canto\Pelophylax.wav
Lupulella,mesomelas,2.0585093,5512,-13,9661,5270,sample_audios_xeno_canto\Lupulella.wav
Vulpes,vulpes,0.00390677,5512,-28,10126,3639,sample_audios_xeno_canto\Vulpes.wav
