Name,Species,Amplitude,Frequency,Spectral_Desc_Mean,Spectral_Desc_Var,Spectral_Centroid,Audio
Synephippius,obvius,2.6201348,5512,-28,24657,9573,sample_audios_xeno_canto\Synephippius.wav
Gampsocleis,ussuriensis,0.56530666,5512,-13,10021,6014,sample_audios_xeno_canto\Gampsocleis.wav
Loxoblemmus,equestris,1.7479337,5512,-9,5689,4834,sample_audios_xeno_canto\Loxoblemmus.wav
Sclerogryllus,punctatus,1.4533421,5512,-8,8482,4984,sample_audios_xeno_canto\Sclerogryllus.wav
Ducetia,japonica,0.0056625493,5512,-21,13071,6879,sample_audios_xeno_canto\Ducetia.wav
Elimaea,fallax,0.0034954539,5512,-20,13904,7238,sample_audios_xeno_canto\Elimaea.wav
Macaca,mulatta,78.58777,5512,-14,3602,4592,sample_audios_xeno_canto\Macaca.wav
Mecopoda,niponensis,5.4329486,5512,-15,5608,6135,sample_audios_xeno_canto\Mecopoda.wav
Hexacentrus,hareyamai,2.389961,5512,-20,10390,6721,sample_audios_xeno_canto\Hexacentrus.wav
Truljalia,tylacantha,30.96639,5512,-13,6141,5461,sample_audios_xeno_canto\Truljalia.wav
Meloimorpha,japonica,1.0822474,5512,-10,7533,4255,sample_audios_xeno_canto\Meloimorpha.wav
Vietacheta,picea,92.13612,5512,-9,7587,5505,sample_audios_xeno_canto\Vietacheta.wav
Svistella,bifasciata,3.1693838,5512,-10,7414,6512,sample_audios_xeno_canto\Svistella.wav
Ornebius,fuscicerci,12.749489,5512,-11,8602,6166,sample_audios_xeno_canto\Ornebius.wav
Teleogryllus,occipitalis,268.77985,5512,-9,7248,4552,sample_audios_xeno_canto\Teleogryllus.wav
Teleogryllus,mitratus,36.9396,5512,-8,7172,4399,sample_audios_xeno_canto\Teleogryllus.wav
Hyla,simplex,23.355476,5512,-10,4383,4992,sample_audios_xeno_canto\Hyla.wav
Mitius,enatus,10.721426,5512,-8,5484,7892,sample_audios_xeno_canto\Mitius.wav
Teleogryllus,emma,1.6114041,5512,-9,5646,4822,sample_audios_xeno_canto\Teleogryllus.wav
Loxoblemmus,appendicularis,5.8201203,5512,-13,9694,5658,sample_audios_xeno_canto\Loxoblemmus.wav
Modicogryllus,consobrinus,65.00249,5512,-11,11869,8094,sample_audios_xeno_canto\Modicogryllus.wav
Xenogryllus,ululiu,369.9532,5512,-12,9729,4965,sample_audios_xeno_canto\Xenogryllus.wav
Teleogryllus,derelictus,87.00619,5512,-17,10520,5997,sample_audios_xeno_canto\Teleogryllus.wav
Microhyla,butleri,271.43018,5512,-14,4050,3293,sample_audios_xeno_canto\Microhyla.wav
Dianemobius,furumagiensis,0.4039652,5512,-12,10331,5580,sample_audios_xeno_canto\Dianemobius.wav
Chorthippus,hammarstroemi,0.00028705658,5512,-21,19340,4125,sample_audios_xeno_canto\Chorthippus.wav
Rhinella,icterica,81.147285,5512,-31,8522,3926,sample_audios_xeno_canto\Rhinella.wav
Pristimantis,crenunguis,0.03915464,5512,-29,7872,5491,sample_audios_xeno_canto\Pristimantis.wav
Adenomera,nana,913.2788,5512,-4,8136,5031,sample_audios_xeno_canto\Adenomera.wav
Natula,averni,0.74493164,5512,-20,6732,4703,sample_audios_xeno_canto\Natula.wav
Rattus,norvegicus,0.94816685,5512,-8,8421,4354,sample_audios_xeno_canto\Rattus.wav
Myotis,myotis,0.035015874,5512,-27,20153,7788,sample_audios_xeno_canto\Myotis.wav
Gampsocleis,glabra,0.47849452,5512,-10,11881,3014,sample_audios_xeno_canto\Gampsocleis.wav
Boana,boans,55.671806,5512,-19,5229,3621,sample_audios_xeno_canto\Boana.wav
Pseudophilautus,popularis,2.5166883,5512,-7,6247,3463,sample_audios_xeno_canto\Pseudophilautus.wav
Scinax,garbei,3.016848,5512,-14,3522,5009,sample_audios_xeno_canto\Scinax.wav
Hyla,intermedia,4.900223,5512,-7,5109,2955,sample_audios_xeno_canto\Hyla.wav
Rhinella,horribilis,68.18439,5512,-23,8618,1168,sample_audios_xeno_canto\Rhinella.wav
Allobates,femoralis,0.49973682,5512,-12,4740,6522,sample_audios_xeno_canto\Allobates.wav
Gampsocleis,schelkovnikovae,0.23789564,5512,-12,13036,7305,sample_audios_xeno_canto\Gampsocleis.wav
Eremippus,costatus,0.11102841,5512,-12,12688,7323,sample_audios_xeno_canto\Eremippus.wav
Rupicapra,rupicapra,9.400082,5512,-12,6003,4146,sample_audios_xeno_canto\Rupicapra.wav
Rhacocleis,annulata,0.0042301863,5512,-25,10548,5307,sample_audios_xeno_canto\Rhacocleis.wav
Muntiacus,reevesi,3.4853811,5512,-21,7174,3227,sample_audios_xeno_canto\Muntiacus.wav
Boana,lanciformis,0.15378046,5512,-19,8849,4602,sample_audios_xeno_canto\Boana.wav
Rhinella,marina,1.2570242,5512,-7,1983,4265,sample_audios_xeno_canto\Rhinella.wav
Ingerophrynus,quadriporcatus,0.9406334,5512,-13,4071,6508,sample_audios_xeno_canto\Ingerophrynus.wav
Dendropsophus,triangulum,42.518665,5512,-17,5324,4011,sample_audios_xeno_canto\Dendropsophus.wav
Scinax,ruber,39.997593,5512,-16,5364,4143,sample_audios_xeno_canto\Scinax.wav
Plecturocebus,toppini,322.84604,5512,-15,3677,3017,sample_audios_xeno_canto\Plecturocebus.wav
Nemobius,sylvestris,4.6900706,5512,-11,10816,4434,sample_audios_xeno_canto\Nemobius.wav
Svercacheta,siamensis,4.270479,5512,-9,7506,2134,sample_audios_xeno_canto\Svercacheta.wav
Polionemobius,taprobanense,12.158796,5512,-7,3775,6441,sample_audios_xeno_canto\Polionemobius.wav
Paragalago,zanzibaricus,0.3826254,5512,-16,9989,4738,sample_audios_xeno_canto\Paragalago.wav
Xenogryllus,marmoratus,32.441788,5512,-8,4903,3166,sample_audios_xeno_canto\Xenogryllus.wav
Pipistrellus,nathusii,0.087813474,5512,-28,26259,1785,sample_audios_xeno_canto\Pipistrellus.wav
Chorthippus,jacobsi,6.6957517,5512,-20,11499,8643,sample_audios_xeno_canto\Chorthippus.wav
Lluciapomaresius,panteli,0.051390324,5512,-40,32292,8823,sample_audios_xeno_canto\Lluciapomaresius.wav
Eptesicus,serotinus,0.40831107,5512,-18,15815,6016,sample_audios_xeno_canto\Eptesicus.wav
Chorthippus,reissingeri,0.97973806,5512,-25,10425,8394,sample_audios_xeno_canto\Chorthippus.wav
Decticus,albifrons,10719.206,5512,0,4513,6015,sample_audios_xeno_canto\Decticus.wav
Euchorthippus,declivus,446.10687,5512,-6,7797,6134,sample_audios_xeno_canto\Euchorthippus.wav
Stenobothrus,rubicundulus,122.37023,5512,-10,10062,4622,sample_audios_xeno_canto\Stenobothrus.wav
Trichosurus,vulpecula,27.768055,5512,-13,4723,3714,sample_audios_xeno_canto\Trichosurus.wav
Parasteropleurus,perezii,0.023039442,5512,-25,20716,8986,sample_audios_xeno_canto\Parasteropleurus.wav
Scinax,squalirostris,228.15198,5512,-23,9274,4591,sample_audios_xeno_canto\Scinax.wav
